Núm. Archivo: 1107
Nombre: Salida gordo  fasano
Fecha: 14/9/2020
F01IDE(16)isID;DW2Peso();C01Notas sobre el animal(128)notID;F13Raza()notID;F23Sexo()notID;F33Proveedor()notID;F42Numero DTe()notID;F51Origen(50)notID;F61Destino(50)notID;C12GDM total()notID;C22GPV total()notID;C32Total de días()notID;C44Fecha(d/M/yyyy)notID;C54Hora(HH:mm:ss)notID
IDE;Peso;Notas sobre el animal;Raza;Sexo;Proveedor;Numero DTe;Origen;Destino;GDM total;GPV total;Total de días;Fecha;Hora
982 126053809514;453;;Hereford;Macho;;;;Fasano;;;;14/9/2020;14:52:32
;566;;;;;;;;;;;14/9/2020;14:52:52
;491;;;;;;;;;;;14/9/2020;14:53:09
;492;;;;;;;;;;;14/9/2020;14:53:30
982 126058229242;530;;Hereford;Macho;Salvucci;2240;Corrientes;Fasano;1,57;198;126;14/9/2020;14:53:51
;562;;;;;;;;;;;14/9/2020;14:54:16
982 126058225616;530;;Angus;Macho;Salvucci;6550;Gral belgrano bs as;Cotrol prueva;1,57;137;87;14/9/2020;14:54:35
982 126058229040;516;;Cruza;Macho;Salvucci;4918;Formosa;Fasano;2,09;228;109;14/9/2020;14:58:39
;592;;;;;;;;;;;14/9/2020;14:59:05
;465;;;;;;;;;;;14/9/2020;14:59:26
982 126053809262;457;;Hereford;Macho;Salvucci;2240;Corrientes;Fasano;0,71;89;126;14/9/2020;15:03:13
982 126058225000;538;;Hereford;Macho;Salvucci;2240;Corrientes;Fasano;1,37;172;126;14/9/2020;15:03:26
982 126058225503;491;;Cruza;Macho;Salvucci;4918;Formosa;Fasano;1,04;113;109;14/9/2020;15:03:41
982 126053792931;471;;Braford;Macho;Fassano;8631;Goya c.tes;Fasano;1,77;156;88;14/9/2020;15:03:56
982 126058224746;524;;Hereford;Macho;Salvucci;3897;Corrientes;Fasano;1,45;177;122;14/9/2020;15:04:42
982 126058229311;532;;Hereford;Macho;;;;Fasano;;;;14/9/2020;15:05:02
982 126058229674;516;;Hereford;Macho;Salvucci;2240;Corrientes;Fasano;1,3;164;126;14/9/2020;15:05:18
982 126058229741;476;;Hereford;Macho;;;;Fasano;;;;14/9/2020;15:05:35
982 126058225628;514;;Braford;Macho;Fassano;8638;Corrientes;Fasano;1,31;230;175;14/9/2020;15:06:06
982 126058224772;520;;Hereford;Macho;Salvucci;2240;Corrientes;Fasano;1,44;181;126;14/9/2020;15:06:30
982 126053808497;534;;Hereford;Macho;Salvucci;3897;Corrientes;Fasano;1,76;215;122;14/9/2020;15:06:54
;508;;;;;;;;;;;14/9/2020;15:07:12
;492;;;;;;;;;;;14/9/2020;15:08:25
982 126058228803;477;;Hereford;Macho;Fassano;5626;Santa fe;Fasano;1,47;239;163;14/9/2020;15:09:24
982 126058224783;471;;Braford;Macho;Fassano;8638;Corrientes;Fasano;1,14;199;175;14/9/2020;15:10:01
;504;;;;;;;;;;;14/9/2020;15:10:24
982 126058225526;536;;Hereford;Macho;Salvucci;3897;Corrientes;Fasano;1,48;181;122;14/9/2020;15:11:05
;500;;;;;;;;;;;14/9/2020;15:11:31
982 126058229624;506;;Hereford;Macho;Salvucci;2240;Corrientes;Fasano;1,13;143;126;14/9/2020;15:11:59
982 126053792555;518;;Hereford;Macho;Salvucci;2240;Corrientes;Fasano;1,13;142;126;14/9/2020;15:12:17
982 126058225245;562;;Braford;Macho;Fassano;8631;Goya c.tes;Fasano;1,3;114;88;14/9/2020;15:14:34
;477;;;;;;;;;;;14/9/2020;15:15:01
982 126053792704;534;;Hereford;Macho;Salvucci;3897;Corrientes;Fasano;1,7;207;122;14/9/2020;15:15:55
982 126058229191;524;;Hereford;Macho;Salvucci;2240;Corrientes;Fasano;1;126;126;14/9/2020;15:16:23
