FECHA,HORA,NUM,DESCRIPCION,SP,ING_1,PESO_1,ING_2,PESO_2,ING_3,PESO_3,ING_4,PESO_4,ING_5,PESO_5,ING_6,PESO_6,ING_7,PESO_7,ING_8,PESO_8,ING_9,PESO_9,ING_10,PESO_10,TOTAL
04/06/20,12:33, 1,Gordo     ,6000,CascaraMani     , 600,Agua            , 250,Maiz            ,4550,Concentrado     , 600,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,6000
04/06/20,16:32, 1,Gordo     ,   0,Lote 1          , 300,Lote 2          , 140,Lote 3          , 220,Lote 4          , 340,Lote 5          , 310,Lote 6          , 370,Lote 8          , 130,Lote 9          , 110,Lote 11         , 140,Lote 12         , 350,2410
05/06/20,08:27, 1,Gordo     ,6000,CascaraMani     , 620,Agua            , 250,Maiz            ,4590,Concentrado     , 600,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,6060
05/06/20,09:15, 1,Gordo     ,   0,Lote 5          , 660,Lote 6          , 440,Lote 7          , 140,Lote 8          , 210,Lote 9          , 360,Lote 10         , 250,Lote 11         , 500,Lote 12         , 440,Lote 13         , 310,Lote 15         , 220,3530
05/06/20,09:52, 1,Gordo     ,   0,Lote 23         , 610,Lote 24         , 230,Lote 25         , 250,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,1090
05/06/20,16:15, 1,Gordo     ,6000,CascaraMani     , 610,Agua            , 250,Maiz            ,4570,Concentrado     , 600,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,6030
05/06/20,16:57, 1,Gordo     ,   0,Lote 18         , 440,Lote 19         , 280,Lote 20         , 330,Lote 21         , 270,Lote 22         , 280,Lote 23         , 430,Lote 24         , 320,Lote 25         , 170,Lote 8          , 290,Lote 9          , 240,3050
06/06/20,08:24, 1,Gordo     ,   0,Lote 1          , 250,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0, 250
06/06/20,08:36, 1,Gordo     ,6000,CascaraMani     , 600,Agua            , 250,Maiz            ,4560,Concentrado     , 600,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,6010
06/06/20,09:28, 1,Gordo     ,   0,Lote 1          , 290,Lote 3          , 270,Lote 4          , 600,Lote 5          , 680,Lote 6          , 450,Lote 7          , 130,Lote 8          , 330,Lote 9          , 200,Lote 10         , 290,Lote 11         , 300,3540
06/06/20,10:02, 1,Gordo     ,   0,Lote 20         , 290,Lote 22         , 480,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0, 770
06/06/20,10:15, 1,Gordo     ,6000,CascaraMani     , 600,Agua            , 250,Maiz            ,4560,Concentrado     , 600,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,6010
06/06/20,14:59, 1,Gordo     ,   0,Lote 1          , 290,Lote 3          , 120,Lote 4          , 180,Lote 5          , 340,Lote 6          , 270,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,1200
06/06/20,15:20, 1,Gordo     ,   0,Lote 8          , 110,Lote 9          , 110,Lote 10         , 110,Lote 11         , 220,Lote 12         , 220,Lote 13         ,  90,Lote 15         , 200,Lote 18         , 410,Lote 19         , 290,Lote 20         , 210,1970
06/06/20,16:03, 1,Gordo     ,6000,CascaraMani     , 600,Agua            , 250,Maiz            ,4550,Concentrado     , 600,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,6000
07/06/20,09:02, 1,Gordo     ,   0,Lote 1          , 400,Lote 3          , 100,Lote 4          , 570,Lote 5          , 550,Lote 6          , 440,Lote 7          , 170,Lote 8          , 100,Lote 9          , 260,Lote 10         , 260,Lote 11         , 300,3150
07/06/20,09:46, 1,Gordo     ,   0,Lote 20         , 330,Lote 21         , 300,Lote 22         , 450,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,1080
07/06/20,10:00, 1,Gordo     ,6000,CascaraMani     , 600,Agua            , 250,Maiz            ,4550,Concentrado     , 600,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,6000
07/06/20,15:14, 1,Gordo     ,   0,Lote 1          , 200,Lote 3          , 140,Lote 4          , 250,Lote 5          , 510,Lote 6          , 230,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,1330
07/06/20,15:40, 1,Gordo     ,   0,Lote 8          , 150,Lote 10         , 190,Lote 11         , 230,Lote 12         , 220,Lote 13         , 190,Lote 15         , 110,Lote 18         , 420,Lote 19         , 300,Lote 20         , 260,Lote 21         , 210,2280
07/06/20,16:22, 1,Gordo     ,6000,CascaraMani     , 600,Agua            , 250,Maiz            ,4550,Concentrado     , 600,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,6000
08/06/20,08:28, 1,Gordo     ,   0,Lote 1          , 350,Lote 3          , 230,Lote 4          , 530,Lote 5          , 700,Lote 6          , 370,Lote 7          , 200,Lote 8          , 320,Lote 9          , 170,Lote 10         , 240,Lote 11         , 340,3450
08/06/20,09:16, 1,Gordo     ,   0,Lote 21         , 280,Lote 22         , 200,Lote 23         , 420,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0,Lote            ,   0, 900
08/06/20,09:26, 1,Gordo     ,6000,CascaraMani     , 600,Agua            , 250,Maiz            ,4570,Concentrado     , 640,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,                ,   0,6060
